ReportID,ArrestDate,Time,Age,Sex,RaceCat,Charge,ChargeDescription,Address,CrossStreet,geometry,Name,Descriptio
5943698,05/29/2020 12:00:00 AM,1100,32,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",SELMA,CHEROKEE,"c(-118.335, 34.0997)",Hollywood,NA
5940825,05/27/2020 12:00:00 AM,1500,59,M,Black,3056PC,VIOLATION OF PAROLE,1000 W  58TH                         ST,NA,"c(-118.2915, 33.9897)",Vermont-Slauson,NA
5947056,06/02/2020 12:00:00 AM,1145,34,F,Black,243(A)PC,BATTERY ON PERSON,1ST                          ST,GRAND,"c(-118.2488, 34.0557)",Downtown,NA
5946043,06/01/2020 12:00:00 AM,1315,28,M,Other,476&473APC,FORGERY EXCEEDING $950 NOT CHECK/BOND ETC,7000    SUNSET,NA,"c(-118.3379, 34.098)",Hollywood,NA
200113158,05/30/2020 12:00:00 AM,0010,17,M,Hispanic/Latinx/Mexican,45.03 LAMC,NA,1ST,SPRING,"c(-118.2444, 34.053)",Downtown,NA
200910460,06/03/2020 12:00:00 AM,2250,45,M,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VAN NUYS                     BL,MILBANK                      ST,"c(-118.4487, 34.153)",Sherman Oaks,NA
5941678,05/28/2020 12:00:00 AM,1345,41,M,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,4000 W  21ST                         ST,NA,"c(-118.3279, 34.0373)",Arlington Heights,NA
5948373,06/03/2020 12:00:00 AM,2225,31,M,Hispanic/Latinx/Mexican,23103(A)VC,RECKLESS DRIVING,FAIRFAX,PICO,"c(-118.3667, 34.0515)",Mid-Wilshire,NA
5945273,05/30/2020 12:00:00 AM,2110,24,F,White,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,1300 S  LA BREA                      AV,NA,"c(-118.3442, 34.0497)",Mid-Wilshire,NA
5946985,06/02/2020 12:00:00 AM,0835,23,F,Hispanic/Latinx/Mexican,166(C)(1)PC,VIOL DOMESTIC VIOL PROTECT/STAY AWAY ORD,8700 S  SAN PEDRO                    ST,NA,"c(-118.2695, 33.9591)",Green Meadows,NA
5942667,05/29/2020 12:00:00 AM,0340,27,F,Black,243(A)PC,BATTERY ON PERSON,100 S  NORMANDIE                    AV,NA,"c(-118.3029, 34.0726)",Koreatown,NA
200610953,06/01/2020 12:00:00 AM,2230,40,F,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SELMA                        AV,CAHUENGA                     BL,"c(-118.3295, 34.0998)",Hollywood,NA
5946140,06/01/2020 12:00:00 AM,1730,47,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,6400    VAN NUYS                     BL,NA,"c(-118.4487, 34.1867)",Van Nuys,NA
5947337,06/02/2020 12:00:00 AM,2010,53,M,Black,243(E)(1)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL,5000    COLISEUM                     ST,NA,"c(-118.3536, 34.0183)",Baldwin Hills/Crenshaw,NA
5941621,05/28/2020 12:00:00 AM,1145,25,M,White,25850(A)PC,CARRY LOADED F/ARM PRSON/HEH PUBLIC PLACE,200    WORLD WAY,NA,"c(-118.4059, 33.9449)",Westchester,NA
200910565,06/01/2020 12:00:00 AM,1920,22,M,Other,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
5945978,06/01/2020 12:00:00 AM,0940,26,M,Black,3455(B)1PC,WARRANT-PETITION TO REVOKE COMMUNITY SUPVN,VANOWEN,VAN NUYS,"c(-118.4487, 34.1939)",Van Nuys,NA
200113159,06/01/2020 12:00:00 AM,2025,17,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SUNSET,BEAUDRY,"c(-118.2492, 34.0653)",Chinatown,NA
5942618,05/28/2020 12:00:00 AM,2200,30,F,White,459PC,BURGLARY,4600    DESERET                      DR,NA,"c(-118.6297, 34.1549)",Woodland Hills,NA
201213767,05/29/2020 12:00:00 AM,0650,23,F,Black,647(B)PC,PROSTITUTION,FIGUEROA,66TH                         ST,"c(-118.2827, 33.9798)",Vermont-Slauson,NA
200910605,06/01/2020 12:00:00 AM,1910,18,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,WYANDOTTE,VAN NUYS,"c(-118.4574, 34.1976)",Van Nuys,NA
200910456,06/03/2020 12:00:00 AM,2120,31,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS                     BL,"c(-118.4487, 34.2012)",Van Nuys,NA
5768780,05/30/2020 12:00:00 AM,2030,19,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,MELROSE                      AV,HOBART                       BL,"c(-118.3464, 34.0846)",Fairfax,NA
5945322,05/31/2020 12:00:00 AM,0057,26,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,3RD,GARDNER,"c(-118.3532, 34.0704)",Fairfax,NA
5942551,05/28/2020 12:00:00 AM,2300,14,M,Hispanic/Latinx/Mexican,459PC,BURGLARY,600 E  56TH                         ST,NA,"c(-118.2652, 33.9916)",South Park,NA
5943820,05/29/2020 12:00:00 AM,1715,34,M,Hispanic/Latinx/Mexican,594(B)(1)PC,VANDALISM W/LOSS VALUED EQ OR > $400,TUJUNGA CANYON,CHANDLER,"c(-118.3816, 34.1673)",North Hollywood,NA
5947531,06/02/2020 12:00:00 AM,1815,21,F,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,HOLLYWOOD,GOWER,"c(-118.3325, 34.1034)",Hollywood,NA
5941375,05/28/2020 12:00:00 AM,0347,30,F,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,500    SAN JULIAN                   ST,NA,"c(-118.2462, 34.0429)",Downtown,NA
5940985,05/27/2020 12:00:00 AM,1900,33,M,Hispanic/Latinx/Mexican,273.6(B)PC,VIOL CRT ORD PREV DOMESTC VIOL RESULT INJ,7300    VARIEL                       AV,NA,"c(-118.5929, 34.2029)",Canoga Park,NA
5940828,05/27/2020 12:00:00 AM,1510,22,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,900 S  UNION                        AV,NA,"c(-118.2731, 34.0508)",Westlake,NA
5944794,05/30/2020 12:00:00 AM,1600,43,F,White,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,13400    ALMETZ                       ST,NA,"c(-118.4247, 34.3274)",Sylmar,NA
5946185,06/01/2020 12:00:00 AM,1840,34,M,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,LOS ANGELES,7TH,"c(-118.2504, 34.0432)",Downtown,NA
5945911,06/01/2020 12:00:00 AM,0125,30,M,Hispanic/Latinx/Mexican,12500(A)VC,UNLICENSED DRIVER,1400 W  PICO                         BL,NA,"c(-118.2738, 34.0453)",Pico-Union,NA
5947790,06/03/2020 12:00:00 AM,0945,38,M,White,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",6TH                          ST,SPRING                       ST,"c(-118.2515, 34.0463)",Downtown,NA
201009495,05/28/2020 12:00:00 AM,1202,35,M,White,466PC,POSSESSION BURGLARY TOOLS,16000    SHERMAN                      WY,NA,"c(-118.4794, 34.2074)",Van Nuys,NA
5945705,05/31/2020 12:00:00 AM,2030,20,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,ABBOT KINNEY,CALIFORNIA                   AV,"c(-118.466, 33.9907)",Venice,NA
201311848,05/28/2020 12:00:00 AM,1100,47,M,Hispanic/Latinx/Mexican,41.27(C)LAM,DRINKING IN PUBLIC***,400 E  27TH                         ST,NA,"c(-118.266, 34.0226)",Historic South-Central,NA
200910624,06/01/2020 12:00:00 AM,1920,44,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VAN NUYS                     BL,SHERMAN                      WY,"c(-118.4487, 34.2012)",Van Nuys,NA
200910399,06/01/2020 12:00:00 AM,1915,18,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VAN NUYS                     BL,SHERMAN                      WY,"c(-118.4487, 34.2012)",Van Nuys,NA
5947997,06/03/2020 12:00:00 AM,2055,61,M,Black,11351.5HS,POSS/PURCHASE COCAINE BASE FOR SALE,ADAMS,7TH                          AV,"c(-118.3239, 34.0326)",Jefferson Park,NA
5940822,05/27/2020 12:00:00 AM,1435,41,M,Hispanic/Latinx/Mexican,602(O)(2)PC,REFUSE TO LEAVE PROPERTY UPON REQST OWNER,9100    RESEDA                       BL,NA,"c(-118.5361, 34.2355)",Northridge,NA
5946062,06/01/2020 12:00:00 AM,0520,54,M,Black,459PC,BURGLARY,7300 S  WESTERN                      AV,NA,"c(-118.309, 33.9727)",Manchester Square,NA
5942493,05/28/2020 12:00:00 AM,2130,28,M,White,594(A)(2)PC,DAMAGE PROPERTY,1500 N  DETROIT,NA,"c(-118.3456, 34.098)",Hollywood,NA
5941896,05/28/2020 12:00:00 AM,1420,25,M,Black,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",SAN PEDRO,5TH                          ST,"c(-118.2452, 34.0423)",Downtown,NA
5945256,05/30/2020 12:00:00 AM,2345,25,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,3RD                          ST,EDINBURGH                    BL,"c(-118.3637, 34.0718)",Beverly Grove,NA
5940609,05/27/2020 12:00:00 AM,0930,41,F,Black,245(A)(4)PC,ASSAULT LIKELY TO PRODUCE GBI,SUNSET,LA BREA,"c(-118.3441, 34.098)",Hollywood,NA
201510655,05/28/2020 12:00:00 AM,1200,31,M,White,11350(A)HS,POSSESSION OF CONTROLLED SUBSTANCE,SATSUMA,VANOWEN,"c(-118.3748, 34.1937)",North Hollywood,NA
