ReportID,ArrestDate,Time,Age,Sex,RaceCat,Charge,ChargeDescription,Address,CrossStreet,geometry,Name,Descriptio
5943668,05/29/2020 12:00:00 AM,1415,30,M,Black,11366HS,MAINTAIN PLACE TO SELL CONTROLLED SUBS,9600    VENICE,NA,"c(-118.396, 34.0249)",Palms,NA
5944865,05/30/2020 12:00:00 AM,2245,43,M,Hispanic/Latinx/Mexican,594(A)(2)PC,DAMAGE PROPERTY,1900    BONSALLO                     AV,NA,"c(-118.2759, 34.035)",University Park,NA
5948096,06/03/2020 12:00:00 AM,1900,18,M,Hispanic/Latinx/Mexican,594(A)(1)PC,DEFACE PROPERTY,42ND                         PL,HOOVER,"c(-118.2872, 34.0062)",Vermont Square,NA
5946930,06/02/2020 12:00:00 AM,0420,41,M,Hispanic/Latinx/Mexican,10851(A)VC,TAKE VEHICLE W/O OWNER'S CONSENT,HOOVER                       ST,73RD                         ST,"c(-118.2871, 33.9736)",Vermont Knolls,NA
200910368,06/01/2020 12:00:00 AM,2350,19,F,Hispanic/Latinx/Mexican,878,NA,VAN NUYS,VALERIO,"c(-118.4488, 34.2048)",Van Nuys,NA
5945613,05/31/2020 12:00:00 AM,1920,27,M,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,700 S  BROADWAY,NA,"c(-118.2541, 34.0444)",Downtown,NA
200312000,05/27/2020 12:00:00 AM,1930,36,M,Black,12700 (B)(2,NA,VERMONT,41ST,"c(-118.2819, 34.0075)",Vermont Square,NA
200210674,05/27/2020 12:00:00 AM,0910,20,M,Hispanic/Latinx/Mexican,41.24(A)LAM,NA,WILSHIRE,ALVARADO,"c(-118.2759, 34.058)",Westlake,NA
201311569,05/28/2020 12:00:00 AM,1400,29,F,Hispanic/Latinx/Mexican,242PC,BATTERY,1300 E  43RD                         PL,NA,"c(-118.2521, 34.0048)",Central-Alameda,NA
5945580,05/31/2020 12:00:00 AM,1920,33,F,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,MARTIN LUTHER KI             BL,WOODLAWN                     ST,"c(-118.2705, 34.0144)",Historic South-Central,NA
5946869,06/01/2020 12:00:00 AM,2200,32,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SELMA,SCHRADER,"c(-118.3319, 34.0998)",Hollywood,NA
201009519,05/29/2020 12:00:00 AM,1110,53,M,White,11358HS,NA,5300    VANALDEN                     AV,NA,"c(-118.5579, 34.1687)",Tarzana,NA
201311567,05/28/2020 12:00:00 AM,1400,22,F,Hispanic/Latinx/Mexican,242PC,BATTERY,1300 E  43RD                         PL,NA,"c(-118.2521, 34.0048)",Central-Alameda,NA
201109835,05/27/2020 12:00:00 AM,1530,42,F,Hispanic/Latinx/Mexican,41.27(C)LAM,DRINKING IN PUBLIC***,5100 N  FIGUEROA                     ST,NA,"c(-118.2008, 34.1056)",Highland Park,NA
5946881,06/01/2020 12:00:00 AM,2200,38,M,Black,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,SELMA,SCHRADER,"c(-118.3319, 34.0998)",Hollywood,NA
5943831,05/29/2020 12:00:00 AM,1740,39,M,Filipino,23152(G)VC,DUI OF COMBINED DRUG & ALCOHOL INFLUENCE,NORMANDIE,8TH                          ST,"c(-118.2998, 34.0577)",Koreatown,NA
5940846,05/27/2020 12:00:00 AM,1400,30,M,White,594(A)(1)PC,DEFACE PROPERTY,ORLANDO                      AV,3RD                          ST,"c(-118.3732, 34.073)",Beverly Grove,NA
5948030,06/03/2020 12:00:00 AM,2100,32,M,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,6300 W  CENTURY                      BL,NA,"c(-118.3966, 33.9455)",Westchester,NA
201510743,05/29/2020 12:00:00 AM,0930,39,M,Hispanic/Latinx/Mexican,25620A,NA,SATICOY,COLDWATER CANYON,"c(-118.4144, 34.2066)",Sun Valley,NA
200910844,06/01/2020 12:00:00 AM,1900,16,M,Hispanic/Latinx/Mexican,484 PC,NA,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
5940981,05/27/2020 12:00:00 AM,2000,26,F,Other,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",PACIFIC,HORIZON,"c(-118.4732, 33.9889)",Venice,NA
5945940,06/01/2020 12:00:00 AM,0725,52,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,29TH                         ST,SAN PEDRO,"c(-118.2629, 34.0191)",Historic South-Central,NA
5945557,05/31/2020 12:00:00 AM,1920,36,F,Hispanic/Latinx/Mexican,A459PC,ATTEMPT - BURGLARY,MARTIN LUTHER KI             BL,WOODLAWN                     AV,"c(-118.2705, 34.0144)",Historic South-Central,NA
200910555,06/01/2020 12:00:00 AM,2205,29,F,White,8378 LAAC,NA,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
200112784,06/02/2020 12:00:00 AM,1930,20,M,Hispanic/Latinx/Mexican,594(A)(1)PC,DEFACE PROPERTY,200 S  BROADWAY,NA,"c(-118.2467, 34.0524)",Downtown,NA
200910367,06/01/2020 12:00:00 AM,2345,22,M,Hispanic/Latinx/Mexican,878,NA,VAN NUYS,VALERIO,"c(-118.4488, 34.2048)",Van Nuys,NA
202110018,06/01/2020 12:00:00 AM,0240,33,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,TOPANGA CANYON,VICTORY,"c(-118.5843, 34.1915)",Winnetka,NA
201510746,05/28/2020 12:00:00 AM,1145,38,F,Hispanic/Latinx/Mexican,4145D,NA,CLYBOURN,KITTRIDGE,"c(-118.3637, 34.1903)",North Hollywood,NA
201811878,05/27/2020 12:00:00 AM,1020,18,F,Black,647(B)PC,PROSTITUTION,89TH,FIGUEROA,"c(-118.2827, 33.956)",Vermont Vista,NA
5948438,06/03/2020 12:00:00 AM,2100,20,M,Black,A459PC,ATTEMPT - BURGLARY,SANTA MONICA                 BL,CAHUENGA                     BL,"c(-118.3325, 34.1034)",Hollywood,NA
5942345,05/28/2020 12:00:00 AM,1505,38,M,Black,594(A)(2)PC,DAMAGE PROPERTY,6TH,SAN JULIAN,"c(-118.2462, 34.0429)",Downtown,NA
5945358,05/31/2020 12:00:00 AM,1130,50,M,Other,243(E)(1)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL,900 S  LAKE                         ST,NA,"c(-118.2799, 34.0539)",Westlake,NA
201811872,05/29/2020 12:00:00 AM,0745,34,F,Black,647(B)PC,PROSTITUTION,106TH,FIGUEROA,"c(-118.2826, 33.9399)",Vermont Vista,NA
200610956,06/01/2020 12:00:00 AM,1910,27,M,White,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VINE,FOUNTAIN,"c(-118.3266, 34.0944)",Hollywood,NA
5945275,05/31/2020 12:00:00 AM,0530,27,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,19200    CANTARA                      ST,NA,"c(-118.5514, 34.2193)",Reseda,NA
5944849,05/30/2020 12:00:00 AM,2200,22,M,Black,459PC,BURGLARY,7200 W  SUNSET                       BL,NA,"c(-118.3471, 34.098)",Hollywood,NA
202109985,05/31/2020 12:00:00 AM,1600,17,F,Black,463PC,NA,21600    VICTORY                      BL,NA,"c(-118.6003, 34.188)",Canoga Park,NA
5945364,05/30/2020 12:00:00 AM,2308,19,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,8000    BEVERLY                      BL,NA,"c(-118.3695, 34.0782)",Beverly Grove,NA
5942541,05/28/2020 12:00:00 AM,2015,30,M,Other,211PC,ROBBERY,12000    EDDLESTON                    DR,NA,"c(-118.5371, 34.2905)",Porter Ranch,NA
200112653,05/27/2020 12:00:00 AM,1405,28,M,Hispanic/Latinx/Mexican,25620ABP,DRINKING ALCOHOL*******,8TH,SAN JULIAN,"c(-118.2496, 34.0394)",Downtown,NA
5945271,05/31/2020 12:00:00 AM,0500,24,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,600 S  HOPE                         ST,NA,"c(-118.2566, 34.0492)",Downtown,NA
5945339,05/31/2020 12:00:00 AM,0005,25,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,7500    MELROSE                      AV,NA,"c(-118.3533, 34.0837)",Fairfax,NA
5768778,05/30/2020 12:00:00 AM,2120,18,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,1300 S  LA BREA                      AV,NA,"c(-118.3442, 34.0497)",Mid-Wilshire,NA
5945731,05/31/2020 12:00:00 AM,2030,19,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,ABBOT KINNEY,CALIFORNIA                   AV,"c(-118.466, 33.9907)",Venice,NA
5942491,05/28/2020 12:00:00 AM,1950,20,M,Hispanic/Latinx/Mexican,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,700 S  NEW HAMPSHIRE                AV,NA,"c(-118.2929, 34.0598)",Koreatown,NA
200810426,05/31/2020 12:00:00 AM,2230,15,F,Black,601WC,NA,SAWTELLE                     BL,EXPOSITION                   BL,"c(-118.438, 34.0345)",Sawtelle,NA
5940739,05/27/2020 12:00:00 AM,1150,23,M,Black,422(A)PC,TERRORIZE CAUSING FEAR,5800    CROCKER                      ST,NA,"c(-118.2685, 33.9893)",South Park,NA
5947158,06/02/2020 12:00:00 AM,1750,34,M,Hispanic/Latinx/Mexican,166(C)(1)PC,VIOL DOMESTIC VIOL PROTECT/STAY AWAY ORD,12100    WASHINGTON                   BL,NA,"c(-118.4267, 34.0012)",Mar Vista,NA
5942346,05/28/2020 12:00:00 AM,1515,54,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",AVENUE 63                    AV,MERIDIAN,"c(-118.1786, 34.1201)",Highland Park,NA
201009593,06/01/2020 12:00:00 AM,1540,39,M,Other,243.4(A)PC,SEXUAL BATTERY: BY RESTRAINT,18400    HATTERAS                     ST,NA,"c(-118.5338, 34.1775)",Tarzana,NA
200810138,05/29/2020 12:00:00 AM,0800,60,M,White,41.18DLAMC,SIT/LIE/SLEEP SIDEWALK OR STREET,PONTIUS,TENNESSEE,"c(-118.4301, 34.0397)",West Los Angeles,NA
5768773,05/31/2020 12:00:00 AM,0146,22,M,Hispanic/Latinx/Mexican,245(A)(4)PC,ASSAULT LIKELY TO PRODUCE GBI,6TH,HILL,"c(-118.2531, 34.0474)",Downtown,NA
5946784,06/01/2020 12:00:00 AM,1825,22,F,Black,245(C)PC,ADW PO/FIREMAN W/O FIREARM/GBI,ALABAMA,VANOWEN,"c(-118.599, 34.1938)",Canoga Park,NA
5946056,06/01/2020 12:00:00 AM,0230,27,M,Black,647(A)PC,SOLICIT/ENGAGE LEWD ACT IN PUBLIC VIEW,MOTOR,"NATIONAL","c(-118.4107, 34.0292)",Palms,NA
200910611,06/01/2020 12:00:00 AM,1915,19,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,6900    VAN NUYS                     BL,NA,"c(-118.4487, 34.1961)",Van Nuys,NA
200910439,06/01/2020 12:00:00 AM,1850,27,F,White,878,NA,VICTORY,VAN NUYS,"c(-118.4487, 34.1867)",Van Nuys,NA
5943415,05/29/2020 12:00:00 AM,1230,39,M,White,11358HS,UNLAWFULLY PLANT/CULTIVATE/ETC MARIJUANA,5300    VANALDEN                     AV,NA,"c(-118.5579, 34.1687)",Tarzana,NA
200810129,05/28/2020 12:00:00 AM,2035,59,M,Black,41.27DLAMC,POSS ALCH BEV ON POSTED PREM,10800    SANTA MONICA                 BL,NA,"c(-118.4344, 34.0502)",West Los Angeles,NA
5768787,05/31/2020 12:00:00 AM,0200,26,M,Other,459PC,BURGLARY,6500    HOLLYWOOD                    BL,NA,"c(-118.3317, 34.1016)",Hollywood,NA
201510744,05/29/2020 12:00:00 AM,0930,69,M,White,4127C,NA,SATICOY,COLDWATER CANYON,"c(-118.4144, 34.2066)",Sun Valley,NA
5945927,05/31/2020 12:00:00 AM,2135,28,F,Hispanic/Latinx/Mexican,187(A)PC,MURDER:FIRST DEGREE:SHOOT FROM VEHICLE,600 N  WILTON                       PL,NA,"c(-118.3181, 34.0799)",Larchmont,NA
201709616,05/29/2020 12:00:00 AM,1920,24,M,Other Asian,11350HS,POSSESS CONTROLLED SUBSTANCE,19100    PARTHENIA                    ST,NA,"c(-118.5492, 34.2283)",Northridge,NA
5948424,06/03/2020 12:00:00 AM,2330,40,M,Hispanic/Latinx/Mexican,422(A)PC,TERRORIZE CAUSING FEAR,17100    ROSCOE                       BL,NA,"c(-118.5055, 34.2214)",Northridge,NA
200910631,06/01/2020 12:00:00 AM,1900,19,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VAN NUYS                     BL,SHERMAN                      WY,"c(-118.4487, 34.2012)",Van Nuys,NA
5946840,06/01/2020 12:00:00 AM,1825,21,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,ALABAMA,VANOWEN,"c(-118.599, 34.1938)",Canoga Park,NA
201811883,05/28/2020 12:00:00 AM,0100,29,F,Black,647(B)PC,PROSTITUTION,FIGUEROA                     ST,104TH                        ST,"c(-118.2826, 33.9424)",Vermont Vista,NA
5946944,06/02/2020 12:00:00 AM,0415,33,M,Hispanic/Latinx/Mexican,23152(F)VC,DUI OF ANY DRUG,FRIAR                        ST,TYRONE,"c(-118.4444, 34.1857)",Van Nuys,NA
5942392,05/28/2020 12:00:00 AM,1815,33,M,Hispanic/Latinx/Mexican,14601.2AVC,DRIVE W/LIC SUSPEND/REVOKE 4 DRUGS/ALCOHL,47TH,BROADWAY,"c(-118.2783, 34.0011)",South Park,NA
5940757,05/27/2020 12:00:00 AM,1330,28,M,Hispanic/Latinx/Mexican,245(C)PC,ADW PO/FIREMAN W/O FIREARM/GBI,OCEAN FRONT WALK             WK,CLUBHOUSE                    ST,"c(-118.4765, 33.9933)",Venice,NA
200112654,05/27/2020 12:00:00 AM,1535,52,F,Black,25620ABP,DRINKING ALCOHOL*******,7TH,CERES,"c(-118.2335, 34.0387)",Downtown,NA
5941263,05/27/2020 12:00:00 AM,2050,29,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",FLOWER,8TH,"c(-118.2625, 34.042)",Downtown,NA
5947018,06/02/2020 12:00:00 AM,1030,23,F,Black,273.5(A)PC,CORPORAL INJURY ON SPOUSE/COHABITANT/ETC,1000    ARDMORE,NA,"c(-118.3019, 34.0885)",East Hollywood,NA
200910571,06/01/2020 12:00:00 AM,2300,45,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
201009569,05/29/2020 12:00:00 AM,1905,52,M,White,594(A)PC,VANDALISM,TAMPA                        AV,VANOWEN                      ST,"c(-118.5534, 34.1938)",Reseda,NA
5768802,05/31/2020 12:00:00 AM,0400,26,M,Black,459PC,BURGLARY,1200 S  UNION                        AV,NA,"c(-118.2782, 34.0472)",Pico-Union,NA
5768763,05/30/2020 12:00:00 AM,2310,24,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,3RD                          ST,GARDNER                      ST,"c(-118.3532, 34.0704)",Fairfax,NA
5942469,05/28/2020 12:00:00 AM,1430,44,M,Hispanic/Latinx/Mexican,476A(A)PC,NONSUFFCNT FUNDS CHECK EXCEED $950 W/PR,4200 W  WASHINGTON                   BL,NA,"c(-118.3329, 34.0429)",Mid-City,NA
200910582,06/01/2020 12:00:00 AM,2206,18,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
5941894,05/28/2020 12:00:00 AM,1345,27,M,Hispanic/Latinx/Mexican,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",10600    WEIGAND                      AV,NA,"c(-118.2297, 33.9398)",Watts,NA
5940756,05/27/2020 12:00:00 AM,1205,23,M,Hispanic/Latinx/Mexican,23153(A)VC,DUI ALCOHOL CAUSING INJURY,39TH                         ST,DENKER                       AV,"c(-118.3045, 34.0146)",Exposition Park,NA
5940975,05/27/2020 12:00:00 AM,1900,20,M,White,A187(A)PC,ATTEMPT - MURDER,1300    WILCOX,NA,"c(-118.3125, 34.0944)",Hollywood,NA
5946538,06/01/2020 12:00:00 AM,1900,18,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,12500    VICTORY                      BL,NA,"c(-118.4055, 34.1867)",Valley Glen,NA
200910454,06/01/2020 12:00:00 AM,1910,46,M,Black,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,14900    SHERMAN                      WY,NA,"c(-118.4599, 34.2084)",Van Nuys,NA
200910573,06/01/2020 12:00:00 AM,1900,22,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
200910187,05/27/2020 12:00:00 AM,1612,45,M,White,647(B)(2)PC,ENGAGE/SOLICIT SEX FOR MONEY/ETC,WYANDOTTE                    ST,SEPULVEDA                    BL,"c(-118.4662, 34.203)",Van Nuys,NA
5940663,05/27/2020 12:00:00 AM,1000,47,M,Black,459PC,BURGLARY,700    ROSE                         AV,NA,"c(-118.4698, 34.0004)",Venice,NA
5940498,05/27/2020 12:00:00 AM,0315,29,M,Black,A10851(A)VC,ATTEMPT - TAKE VEHICLE W/O CONSENT,8500 S  BROADWAY,NA,"c(-118.2783, 33.961)",Florence,NA
200112906,06/02/2020 12:00:00 AM,2045,42,M,Black,11359(B)HS,POSSESS MARIJUANA FOR SALE,700 S  OLIVE                        ST,NA,"c(-118.2556, 34.0467)",Downtown,NA
5947226,06/02/2020 12:00:00 AM,1800,20,M,Black,594(A)(1)PC,DEFACE PROPERTY,3900 N  LANKERSHIM                   BL,NA,"c(-118.3643, 34.1425)",Studio City,NA
5941578,05/28/2020 12:00:00 AM,1230,17,F,Hispanic/Latinx/Mexican,211PC,ROBBERY,7600 S  BROADWAY,NA,"c(-118.2783, 33.9708)",Florence,NA
5942934,05/29/2020 12:00:00 AM,0330,19,M,Hispanic/Latinx/Mexican,459PC,BURGLARY,LANGDON                      AV,DEVONSHIRE                   ST,"c(-118.4696, 34.2573)",Mission Hills,NA
5945357,05/31/2020 12:00:00 AM,0400,49,M,Other,3000.08CPC,PAROLE WARRANT,MELROSE,LA JOLLA,"c(-118.368, 34.0837)",Beverly Grove,NA
5947740,06/03/2020 12:00:00 AM,0615,26,M,Black,487(D)(1)PC,GRAND THEFT AUTO/HORSE/ETC,42ND                         ST,WESTERN                      AV,"c(-118.3089, 34.0073)",Vermont Square,NA
5947669,06/02/2020 12:00:00 AM,2200,32,M,Black,245(C)PC,ADW PO/FIREMAN W/O FIREARM/GBI,S  VICTORIA                     AV,W  SLAUSON,"c(-118.3322, 33.989)",Hyde Park,NA
5944446,05/30/2020 12:00:00 AM,0345,21,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,800 S  MAIN                         ST,NA,"c(-118.2538, 34.0424)",Downtown,NA
5945289,05/30/2020 12:00:00 AM,0830,22,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,7300    MELROSE                      AV,NA,"c(-118.3487, 34.0836)",Fairfax,NA
5942627,05/29/2020 12:00:00 AM,0030,38,M,Hispanic/Latinx/Mexican,487(D)(1)PC,GRAND THEFT AUTO/HORSE/ETC,WOODMAN,STRATHERN                    ST,"c(-118.4309, 34.2153)",Panorama City,NA
5941489,05/28/2020 12:00:00 AM,0850,44,M,Hispanic/Latinx/Mexican,207(A)PC,KIDNAPPING,2300 W  3RD                          ST,NA,"c(-118.2747, 34.064)",Westlake,NA
200910614,06/01/2020 12:00:00 AM,1910,15,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,7200    TYRONE                       AV,NA,"c(-118.4444, 34.2012)",Van Nuys,NA
5946022,06/01/2020 12:00:00 AM,1130,34,M,White,243(E)(1)PC,BATT EX-SPOUSE/FIANCEE/PERSN W/DATING REL,6600    BOBBYBOYAR                   AV,NA,"c(-118.6326, 34.1899)",West Hills,NA
5947853,06/03/2020 12:00:00 AM,1445,52,M,White,4573.5PC,BRING DRUG/DRUG PARAPHERNALIA:JAIL/PRISON,6600    NESTLE                       AV,NA,"c(-118.5308, 34.1903)",Reseda,NA
201213764,05/29/2020 12:00:00 AM,0700,20,F,Black,647(B)PC,PROSTITUTION,66TH,FIGUEROA,"c(-118.2827, 33.9798)",Vermont-Slauson,NA
5940475,05/27/2020 12:00:00 AM,0250,60,M,Hispanic/Latinx/Mexican,23152(A)VC,DRUNK DRIVING ALCOHOL/DRUGS,HILL                         ST,MLK                          BL,"c(-118.2772, 34.0155)",Historic South-Central,NA
5768760,05/31/2020 12:00:00 AM,0010,16,M,Black,459PC,BURGLARY,3600 E  OLYMPIC                      BL,NA,"c(-118.201, 34.0188)",Boyle Heights,NA
200910366,06/01/2020 12:00:00 AM,2345,18,F,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,VALERIO,VAN NUYS,"c(-118.4488, 34.2048)",Van Nuys,NA
5946505,06/01/2020 12:00:00 AM,1955,39,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,ROMAINE,EL CENTRO,"c(-118.3244, 34.0889)",Hollywood,NA
5944465,05/30/2020 12:00:00 AM,0710,27,M,White,273.6(B)PC,VIOL CRT ORD PREV DOMESTC VIOL RESULT INJ,1900    PARK GROVE,NA,"c(-118.2766, 34.0358)",University Park,NA
5940554,05/27/2020 12:00:00 AM,0450,44,M,White,245(A)(1)PC,"ADW, NOT FIREARM, W/GBI",6TH                          ST,ALEXANDRIA                   AV,"c(-118.2979, 34.0636)",Koreatown,NA
5946837,06/01/2020 12:00:00 AM,2130,18,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SUNSET,LAS PALMAS,"c(-118.3363, 34.098)",Hollywood,NA
5947888,06/03/2020 12:00:00 AM,1015,29,F,Hispanic/Latinx/Mexican,496(A)PC,RECEIVING KNOWN STOLEN PROPERTY >$950,8800 S  BROADWAY,NA,"c(-118.2782, 33.9574)",Broadway-Manchester,NA
5941665,05/28/2020 12:00:00 AM,0900,24,M,Black,211PC,ROBBERY,5200    YORK                         BL,NA,"c(-118.2026, 34.1207)",Highland Park,NA
5941634,05/28/2020 12:00:00 AM,1200,25,M,Hispanic/Latinx/Mexican,3455(B)1PC,WARRANT-PETITION TO REVOKE COMMUNITY SUPVN,200 E  92ND                         ST,NA,"c(-118.2717, 33.9529)",Broadway-Manchester,NA
200113171,05/31/2020 12:00:00 AM,2130,16,M,Hispanic/Latinx/Mexican,8.78 LAMC,NA,LOS ANGELES,2ND,"c(-118.2447, 34.0485)",Downtown,NA
5945530,05/31/2020 12:00:00 AM,1630,34,M,Black,261(A)(2)PC,RAPE BY FORCE/FEAR,3400    PERCY                        ST,NA,"c(-118.1999, 34.0287)",Boyle Heights,NA
5946928,06/01/2020 12:00:00 AM,1900,23,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,WINNETKA,VENTURA,"c(-118.5709, 34.171)",Woodland Hills,NA
200910620,06/01/2020 12:00:00 AM,2300,26,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,SHERMAN                      WY,VAN NUYS,"c(-118.4487, 34.2012)",Van Nuys,NA
5945098,05/30/2020 12:00:00 AM,2120,40,F,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,3500    WILSHIRE                     BL,NA,"c(-118.3004, 34.0618)",Koreatown,NA
5945628,05/31/2020 12:00:00 AM,1800,19,M,Hispanic/Latinx/Mexican,182(A)(1)PC,CONSPIRACY TO COMMIT ANY CRIME,FARRALONE,SHERMAN,"c(-118.6103, 34.201)",Canoga Park,NA
5945224,05/30/2020 12:00:00 AM,2120,21,F,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,300 S  LA BREA,NA,"c(-118.3538, 34.051)",Mid-Wilshire,NA
201109889,05/28/2020 12:00:00 AM,1640,30,M,Hispanic/Latinx/Mexican,41.18(A)LAM,LOITER/OBSTRUCT STREET/SIDEWALK/ETC****,BROADWAY,GLENDALE                     FY,"c(-118.2268, 34.1445)",Eagle Rock,NA
5947628,06/02/2020 12:00:00 AM,1820,23,M,White,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,HOLLYWOOD,GOWER,"c(-118.3224, 34.1017)",Hollywood,NA
200810133,05/27/2020 12:00:00 AM,1835,45,M,White,41.27CLAMC,DRINKING IN PUBLIC,SANTA MONICA                 BL,WELLESLEY,"c(-118.4655, 34.0396)",Sawtelle,NA
200910453,06/03/2020 12:00:00 AM,1930,37,M,Hispanic/Latinx/Mexican,8.78LAAC,VIOL OF CURFEW DURING STATE OF EMER,HAYNES                       ST,VAN NUYS                     BL,"c(-118.4574, 34.1976)",Van Nuys,NA
5768784,05/30/2020 12:00:00 AM,2120,21,M,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SAN VICENTE,LA BREA,"c(-118.3442, 34.0504)",Mid-Wilshire,NA
5940773,05/27/2020 12:00:00 AM,1220,32,M,Hispanic/Latinx/Mexican,21310PC,CARRY CONCEALED ON PERSON DIRK OR DAGGER,100 W  77TH                         ST,NA,"c(-118.2739, 33.9699)",Florence,NA
5945219,05/30/2020 12:00:00 AM,2120,22,F,Hispanic/Latinx/Mexican,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,SAN VICENTE                  ST,LA BREA                      AV,"c(-118.3442, 34.0504)",Mid-Wilshire,NA
5947172,06/02/2020 12:00:00 AM,1650,32,M,Hispanic/Latinx/Mexican,487(D)(2)PC,GRAND THEFT FIREARM,MORGAN,42ND                         ST,"c(-118.2513, 34.006)",Central-Alameda,NA
200210757,05/27/2020 12:00:00 AM,1215,36,M,Hispanic/Latinx/Mexican,63.44(B)(14,NA,2200 W  6TH                          ST,NA,"c(-118.2761, 34.0601)",Westlake,NA
5941635,05/28/2020 12:00:00 AM,1240,23,M,Hispanic/Latinx/Mexican,11360(A)HS,TRANSPORT/SELL/FURNISH/ETC MARIJUANA,600 W  FLORENCE                     AV,NA,"c(-118.2838, 33.9747)",Vermont-Slauson,NA
201009622,06/02/2020 12:00:00 AM,1630,34,M,White,11550(A)HS,UNDER INFLUENCE CNTL SUB,19600 W  VENTURA                      BL,NA,"c(-118.56, 34.1728)",Tarzana,NA
5946890,06/01/2020 12:00:00 AM,1900,25,M,Black,463(A)PC,2ND DEGREE BURGLARY DURING EARTHQUAKE/ETC,12500    VICTORY                      BL,NA,"c(-118.4055, 34.1867)",Valley Glen,NA
200910247,05/28/2020 12:00:00 AM,0921,29,M,Hispanic/Latinx/Mexican,11377 H&S,NA,VAN NUYS,SHERMAN                      WY,"c(-118.4488, 34.2012)",Van Nuys,NA
